,weather_key,Game Date,City,Temperature,Weather,Code
142,Detroit-42715,12/11/2016,Detroit,18,Heavy snow,338
143,Detroit-42736,1/1/2017,Detroit,31,Mist,143
144,Minneapolis-42267,9/20/2015,Minneapolis,67,Clear,113
145,Minneapolis-42274,9/27/2015,Minneapolis,77,Clear,113
146,Minneapolis-42295,10/18/2015,Minneapolis,54,Clear,113
147,Minneapolis-42316,11/8/2015,Minneapolis,47,Clear,113
148,Minneapolis-42330,11/22/2015,Minneapolis,21,Overcast,122
149,Minneapolis-42344,12/6/2015,Minneapolis,30,Mist,143
150,Minneapolis-42358,12/20/2015,Minneapolis,31,Fog,248
151,Minneapolis-42365,12/27/2015,Minneapolis,9,Clear,113
152,Minneapolis-42631,9/18/2016,Minneapolis,82,Overcast,122
153,Minneapolis-42646,10/3/2016,Minneapolis,68,Clear,113
154,Minneapolis-42652,10/9/2016,Minneapolis,58,Clear,113
155,Minneapolis-42680,11/6/2016,Minneapolis,63,Clear,113
156,Minneapolis-42694,11/20/2016,Minneapolis,29,Clear,113
157,Minneapolis-42705,12/1/2016,Minneapolis,29,Overcast,122
158,Minneapolis-42722,12/18/2016,Minneapolis,-28,Clear,113
159,Minneapolis-42736,1/1/2017,Minneapolis,17,Mist,143
160,Kansas City-42264,9/17/2015,Kansas City,99,Thundery outbreaks possible,200
161,Kansas City-42288,10/11/2015,Kansas City,80,Clear,113
162,Kansas City-42302,10/25/2015,Kansas City,65,Clear,113
163,Kansas City-42309,11/1/2015,Kansas City,67,Clear,113
164,Kansas City-42337,11/29/2015,Kansas City,30,Light rain,296
165,Kansas City-42351,12/13/2015,Kansas City,48,Light drizzle,266
166,Kansas City-42365,12/27/2015,Kansas City,26,Patchy rain possible,176
167,Kansas City-42372,1/3/2016,Kansas City,15,Overcast,122
168,Kansas City-42624,9/11/2016,Kansas City,74,Clear,113
169,Kansas City-42638,9/25/2016,Kansas City,68,Overcast,122
170,Kansas City-42666,10/23/2016,Kansas City,73,Clear,113
171,Kansas City-42680,11/6/2016,Kansas City,62,Overcast,122
172,Kansas City-42694,11/20/2016,Kansas City,45,Clear,113
173,Kansas City-42712,12/8/2016,Kansas City,15,Clear,113
174,Kansas City-42722,12/18/2016,Kansas City,9,Clear,113
175,Kansas City-42729,12/25/2016,Kansas City,56,Patchy rain possible,176
176,Saint Louis-42260,9/13/2015,Saint Louis,71,Clear,113
177,Saint Louis-42274,9/27/2015,Saint Louis,79,Patchy rain possible,176
178,Saint Louis-42302,10/25/2015,Saint Louis,59,Partly cloudy,116
179,Saint Louis-42309,11/1/2015,Saint Louis,66,Partly cloudy,116
180,Saint Louis-42323,11/15/2015,Saint Louis,59,Clear,113
181,Saint Louis-42344,12/6/2015,Saint Louis,41,Mist,143
182,Saint Louis-42351,12/13/2015,Saint Louis,63,Light rain,296
183,Saint Louis-42355,12/17/2015,Saint Louis,30,Overcast,122
184,Charlotte-42267,9/20/2015,Charlotte,90,Patchy rain possible,176
185,Charlotte-42274,9/27/2015,Charlotte,70,Overcast,122
186,Charlotte-42302,10/25/2015,Charlotte,75,Overcast,122
187,Charlotte-42310,11/2/2015,Charlotte,61,Light rain shower,353
188,Charlotte-42316,11/8/2015,Charlotte,53,Overcast,122
189,Charlotte-42330,11/22/2015,Charlotte,42,Clear,113
190,Charlotte-42351,12/13/2015,Charlotte,65,Patchy rain possible,176
191,Charlotte-42372,1/3/2016,Charlotte,48,Overcast,122
192,Charlotte-42631,9/18/2016,Charlotte,89,Light rain shower,353
193,Charlotte-42638,9/25/2016,Charlotte,85,Clear,113
194,Charlotte-42653,10/10/2016,Charlotte,65,Clear,113
195,Charlotte-42673,10/30/2016,Charlotte,81,Clear,113
196,Charlotte-42687,11/13/2016,Charlotte,55,Moderate or heavy rain with thunder,389
197,Charlotte-42691,11/17/2016,Charlotte,72,Clear,113
198,Charlotte-42715,12/11/2016,Charlotte,37,Light rain,296
199,Charlotte-42728,12/24/2016,Charlotte,60,Overcast,122
200,Cincinnati-42267,9/20/2015,Cincinnati,71,Overcast,122
201,Cincinnati-42281,10/4/2015,Cincinnati,65,Overcast,122
202,Cincinnati-42288,10/11/2015,Cincinnati,69,Clear,113
203,Cincinnati-42313,11/5/2015,Cincinnati,75,Overcast,122
204,Cincinnati-42324,11/16/2015,Cincinnati,55,Overcast,122
205,Cincinnati-42337,11/29/2015,Cincinnati,41,Overcast,122
206,Cincinnati-42351,12/13/2015,Cincinnati,62,Overcast,122
207,Cincinnati-42372,1/3/2016,Cincinnati,24,Overcast,122
208,Cincinnati-42638,9/25/2016,Cincinnati,83,Clear,113
209,Cincinnati-42642,9/29/2016,Cincinnati,64,Light rain shower,353
210,Cincinnati-42666,10/23/2016,Cincinnati,66,Clear,113
211,Cincinnati-42673,10/30/2016,Cincinnati,74,Light rain shower,353
212,Cincinnati-42694,11/20/2016,Cincinnati,29,Clear,113
213,Cincinnati-42708,12/4/2016,Cincinnati,41,Light rain,296
214,Cincinnati-42722,12/18/2016,Cincinnati,21,Overcast,122
215,Cincinnati-42736,1/1/2017,Cincinnati,38,Patchy rain possible,176
216,Pittsburgh-42267,9/20/2015,Pittsburgh,70,Clear,113
217,Pittsburgh-42278,10/1/2015,Pittsburgh,59,Cloudy,119
218,Pittsburgh-42295,10/18/2015,Pittsburgh,39,Clear,113
219,Pittsburgh-42309,11/1/2015,Pittsburgh,61,Overcast,122
220,Pittsburgh-42316,11/8/2015,Pittsburgh,53,Clear,113
221,Pittsburgh-42323,11/15/2015,Pittsburgh,50,Clear,113
222,Pittsburgh-42344,12/6/2015,Pittsburgh,47,Overcast,122
223,Pittsburgh-42358,12/20/2015,Pittsburgh,33,Partly cloudy,116
224,Pittsburgh-42631,9/18/2016,Pittsburgh,74,Light rain shower,353
225,Pittsburgh-42645,10/2/2016,Pittsburgh,64,Patchy rain possible,176
226,Pittsburgh-42652,10/9/2016,Pittsburgh,56,Clear,113
227,Pittsburgh-42666,10/23/2016,Pittsburgh,59,Clear,113
228,Pittsburgh-42687,11/13/2016,Pittsburgh,49,Clear,113
229,Pittsburgh-42708,12/4/2016,Pittsburgh,34,Overcast,122
230,Pittsburgh-42729,12/25/2016,Pittsburgh,31,Patchy rain possible,176
231,Pittsburgh-42736,1/1/2017,Pittsburgh,38,Cloudy,119
232,Nashville-42274,9/27/2015,Nashville,81,Cloudy,119
233,Nashville-42288,10/11/2015,Nashville,73,Clear,113
234,Nashville-42295,10/18/2015,Nashville,56,Clear,113
235,Nashville-42302,10/25/2015,Nashville,62,Overcast,122
236,Nashville-42323,11/15/2015,Nashville,58,Overcast,122
237,Nashville-42337,11/29/2015,Nashville,56,Light rain,296
238,Nashville-42344,12/6/2015,Nashville,52,Overcast,122
239,Nashville-42365,12/27/2015,Nashville,72,Light rain shower,353
240,Nashville-42624,9/11/2016,Nashville,80,Clear,113
241,Nashville-42638,9/25/2016,Nashville,91,Clear,113
242,Nashville-42659,10/16/2016,Nashville,85,Clear,113
243,Nashville-42666,10/23/2016,Nashville,71,Clear,113
244,Nashville-42670,10/27/2016,Nashville,76,Clear,113
245,Nashville-42687,11/13/2016,Nashville,66,Clear,113
246,Nashville-42715,12/11/2016,Nashville,41,Overcast,122
247,Nashville-42736,1/1/2017,Nashville,48,Overcast,122
248,Arlington-42260,9/13/2015,Arlington,82,Clear,113
249,Arlington-42274,9/27/2015,Arlington,89,Clear,113
250,Arlington-42288,10/11/2015,Arlington,93,Clear,113
251,Arlington-42309,11/1/2015,Arlington,64,Fog,248
252,Arlington-42316,11/8/2015,Arlington,62,Clear,113
253,Arlington-42334,11/26/2015,Arlington,68,Light rain shower,353
254,Arlington-42357,12/19/2015,Arlington,49,Overcast,122
255,Arlington-42372,1/3/2016,Arlington,51,Clear,113
256,Arlington-42624,9/11/2016,Arlington,84,Clear,113
257,Arlington-42638,9/25/2016,Arlington,88,Moderate rain,302
258,Arlington-42652,10/9/2016,Arlington,74,Clear,113
259,Arlington-42673,10/30/2016,Arlington,91,Clear,113
260,Arlington-42694,11/20/2016,Arlington,55,Clear,113
261,Arlington-42698,11/24/2016,Arlington,67,Clear,113
262,Arlington-42722,12/18/2016,Arlington,16,Overcast,122
